id,ts,market_id,market_title,mode,side,contracts,entry_price_cents,trade_amount_dollars,confidence_score,model_prob,implied_prob,btc_price_at_entry,strike,seconds_left_at_entry,fill_confirmed,exit_price_cents,exit_reason,outcome,pnl_dollars,profit_percent,order_id,asset,raw_p_yes,entry_signals,calibrated_p_yes,signal_name,strategy_variant,strategy_version,brain
2528,2026-06-05T22:53:40Z,KXETH15M-26JUN051900-00,KXETH15M-26JUN051900-00,paper,no,66,36,23.76,56,0.5654771561479539,0.36,1597.755,1599.66,379,1,100,expiry,win,41.17,177.78,paper_1780700020505,ETH,0.4345228438520461,"{""win_prob"": 0.5654771561479539, ""ev"": 0.0745228438520461, ""abs_pct"": 0.0011908780615880704}",,,strategy1,,s1
2527,2026-06-05T22:25:11Z,KXSOL15M-26JUN051830-30,KXSOL15M-26JUN051830-30,paper,no,72,33,23.76,52,0.5298827469773584,0.33,64.27,64.3223,289,1,100,expiry,win,47.12,203.03,paper_1780698311044,SOL,0.4701172530226416,"{""win_prob"": 0.5298827469773584, ""ev"": 0.1401172530226416, ""abs_pct"": 0.000813092815399985}",,,strategy1,,s1
2526,2026-06-05T22:24:59Z,KXETH15M-26JUN051830-30,KXETH15M-26JUN051830-30,paper,no,55,43,23.65,50,0.5,0.43,1594.22,1594.74,300,1,100,expiry,win,30.4,132.56,paper_1780698299858,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.07, ""abs_pct"": 0.00032607196157366205}",,,strategy1,,s1
2525,2026-06-05T21:25:14.347353+00:00,KXETH15M-26JUN051730-30,ETH price up in next 15 mins?,paper,no,40,60,24.0,66,0.6629728424338299,0.6,1609.405,1612.08,285,1,100,expiry,win,15.32,66.67,paper_1780694714347,ETH,0.3370271575661701,"{""win_prob"": 0.6629728424338299, ""ev"": 0.04617284243382994, ""vel_delta"": 8.0, ""obi"": null, ""abs_pct"": 0.0016593469306733877, ""mins_left"": 4.764871266666666, ""strike"": 1612.08}",,,strategy2,,s2
2524,2026-06-05T21:18:40Z,KXXRP15M-26JUN051730-30,KXXRP15M-26JUN051730-30,paper,no,59,40,23.6,50,0.5,0.4,1.11635,1.1166,680,1,100,expiry,win,34.4,150.0,paper_1780694320168,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 0.0002238939638188102}",,,strategy1,,s1
2523,2026-06-05T21:12:12Z,KXSOL15M-26JUN051715-15,KXSOL15M-26JUN051715-15,paper,no,118,20,23.6,57,0.5747961342912922,0.2,64.575,64.6503,168,1,0,expiry,loss,-24.93,-100.0,paper_1780693932183,SOL,0.42520386570870783,"{""win_prob"": 0.5747961342912922, ""ev"": 0.22520386570870782, ""abs_pct"": 0.0015514235819478683}",,,strategy1,,s1
2522,2026-06-05T21:08:20Z,KXXRP15M-26JUN051715-15,KXXRP15M-26JUN051715-15,paper,no,58,41,23.78,50,0.5,0.41,1.1162,1.1159,399,1,0,expiry,loss,-24.77,-100.0,paper_1780693700849,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.09000000000000002, ""abs_pct"": 8.96137646742441e-05}",,,strategy1,,s1
2521,2026-06-05T20:55:18Z,KXSOL15M-26JUN051700-00,KXSOL15M-26JUN051700-00,paper,no,85,28,23.8,50,0.5,0.28,64.42,64.4278,281,1,0,expiry,loss,-25.0,-100.0,paper_1780692918655,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.21999999999999997, ""abs_pct"": 0.0001210657511199069}",,,strategy1,,s1
2520,2026-06-05T20:34:54.796736+00:00,KXETH15M-26JUN051645-45,ETH price up in next 15 mins?,paper,no,35,69,24.15,74,0.7497550050150592,0.69,1590.235,1596.41,605,1,0,expiry,loss,-24.68,-100.0,paper_1780691694796,ETH,0.2502449949849408,"{""win_prob"": 0.7497550050150592, ""ev"": 0.04478200501505926, ""vel_delta"": 9.666666666666668, ""obi"": null, ""abs_pct"": 0.0038680539460415444, ""mins_left"": 10.090731566666667, ""strike"": 1596.41}",,,strategy2,,s2
2519,2026-06-05T20:09:20Z,KXXRP15M-26JUN051615-15,KXXRP15M-26JUN051615-15,paper,no,70,34,23.8,50,0.5,0.34,1.1002,1.1004,340,1,0,expiry,loss,-24.9,-100.0,paper_1780690160047,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.15999999999999998, ""abs_pct"": 0.0001817520901490167}",,,strategy1,,s1
